Time [ms], Elem0, Elem1, Elem2, Elem3
11045, 0, 0.00123736, 0, -0.0404924
11065, 0, 0.00247472, 0, -0.0404924
11065, 0, 0.00247472, 0, -0.0404924
11065, 0, 0.00247472, 0, -0.0404924
11065, 0, 0.00371207, 0, -0.0404924
11126, 0, 0.00371207, -0.00104811, -0.0404924
11126, -0.000497434, 0.00371207, -0.00104811, -0.0404924
11157, -0.000497434, 0.00371207, -0.00104811, -0.0404924
11157, -0.000497434, 0.00371207, -0.00104811, -0.0404924
11205, -0.000497434, 0.00371207, -0.00104811, -0.0404924
11205, -0.000497434, 0.00371207, -0.00104811, -0.0404924
11205, -0.000497434, 0.00371207, -0.00104811, -0.0404924
11205, -0.000497434, 0.00371207, 0, -0.0404924
11252, -0.000497434, 0.00371207, 0, -0.0404924
11252, -0.000497434, 0.00247472, 0.00104811, -0.0404924
11283, 0, 0.00247472, 0.00209622, -0.0404924
11283, 0, 0.00247472, 0.00209622, -0.0404924
11314, 0, 0.00247472, 0.00209622, -0.0404924
11314, 0, 0.00247472, 0.00314433, -0.0404924
11345, 0, 0.00247472, 0.00314433, -0.0404924
11345, 0, 0.00247472, 0.00314433, -0.0404924
11345, 0, 0.00247472, 0.00314433, -0.0404924
11377, 0, 0.00247472, 0.00314433, -0.0404924
11408, 0, 0.00247472, 0.00314433, -0.0404924
11408, 0, 0.00247472, 0.00314433, -0.0404924
11408, 0, 0.00247472, 0.00314433, -0.0404924
11408, 0, 0.00494943, 0.00314433, -0.0404924
11439, 0, 0.00618679, 0.00209622, -0.0404924
11439, 0, 0.00618679, 0.00104811, -0.0404924
11470, 0, 0.00618679, 0.00104811, -0.0404924
11470, 0, 0.00618679, 0.00104811, -0.0404924
11501, 0, 0.00618679, 0.00104811, -0.0404924
11533, 0, 0.00618679, 0.00104811, -0.0404924
11533, 0, 0.00618679, 0.00104811, -0.0404924
11533, 0, 0.00618679, 0.00104811, -0.0404924
11533, 0, 0.00618679, 0.00104811, -0.0404924
11564, 0, 0.00618679, 0.00209622, -0.0404924
11564, 0, 0.00494943, 0.00104811, -0.0404924
11595, 0, 0.00247472, 0.00104811, -0.0404924
11595, 0, 0.00247472, 0.00104811, -0.0404924
11595, 0, 0.00247472, 0.00104811, -0.0404924
11595, 0, 0.00123736, -0.00104811, -0.0404924
11626, 0, 0.00123736, -0.00209622, -0.0404924
11626, 0, 0.00123736, -0.00314433, -0.0404924
11657, 0, 0.00247472, -0.00104811, -0.0404924
11657, 0, 0.00247472, -0.00104811, -0.0404924
11720, 0, 0.00247472, -0.00104811, -0.0404924
11720, 0, 0.00247472, -0.00104811, -0.0404924
11720, 0, 0.00247472, -0.00104811, -0.0404924
11720, 0, 0.00247472, 0.00104811, -0.0404924
11751, 0, 0.00247472, 0.00104811, -0.0404924
11751, 0, 0.00247472, 0.00104811, -0.0404924
11782, 0, 0.00247472, 0.00104811, -0.0404924
11782, 0, 0.00247472, 0.00104811, -0.0404924
11814, 0, 0.00247472, 0.00104811, -0.0404924
11814, 0, 0.00247472, 0, -0.0404924
